LAB_ID,LATITUDE,LONGITUDE,TYPE,NAME,ATTRIBUTE,GEOL_AGE,STRUCT_SRC,Strat Unit or Age at Total Depth,Series/System,Formation,Member,TOC %,S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg CO2/g rock),Tmax (degC),HI ((S2/TOC)*100),OI ((S3/TOC)*100),S2/S3,(S1/TOC)*100,PI (S1/(S1+S2)),S1+S2,Calculated %Ro,Number of %Ro Readings,Total Sample %Ro,Number of Indigenous %Ro Readings,Indigenous %Ro (mean),%Ro Standard Deviation,%Ro Mean Corrected for Suppression,TAI Color,Thermal Alteration Index (TAI),Amorphous Debris %,Finely Disseminated Organic Matter %,Herbaceous Plant Debris %,Woody Plant Debris %,Coaly Fragments %,Algal Debris %,Palynomorphs %,Preservation in Source Material,Recovery from Source Material,Indigenous Vitrinite %,Caved Vitrinite %,Recycled/Oxidized Vitrinite %,Inertinite %,Solid Bitumen %,Amorphous Kerogen %,Kerogen Composition Comments,CAI Min,CAI Max ,CAI Field Number,USGS ID Number,Strat Unit Sampled for Mineralogy,Quartz %,Feldspar %,Carbonate %,Illite/Smectite %,Illite %,Kaolinite %,Chlorite %,Pyrite %,Other Minerals %,Total Clay %,LOI %,,,,,
,42.57158,-76.93419,,,,,,,Middle Devonian,Marcellus Shale,,5.55,0.22,0.57,0.38,547,10,7,1.5,4,0.28,0.79,,,,15,2.93,,,,,98,,2,,,,,good,,1,,1,1,30,67,,,,,NY1005,Marcellus Shale,22,1,49,0,18,0,0,8,0,18,5.77,,,,,
,42.68333,-76.9779,,,,,,,Middle Devonian,Marcellus Shale,,6.22,0.31,0.69,0.25,535,11,4,2.76,5,0.31,1,,,,33,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42.602317,-73.994517,,,,,,,Middle Devonian,Marcellus Shale,,4.82,2.17,0.48,0.02,332,10,0,24,45,0.82,2.65,,,,49,2.87,,,,,,,,,,,,,,,,,,,,,,,,NY07,Marcellus Shale,33,2,8,12,24,3,12,6,0,50,2.83,,,,,
,42.9975,-77.971389,,,,,,,Middle Devonian,Marcellus Shale,,3.07,1.61,4.8,0.12,441,156,4,40,52,0.25,6.41,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,NY09,Marcellus Shale,22,1,12,9,45,1,4,6,0,59,3.26,,,,,
,42.200154,-73.928093,,,,,,,Middle Devonian,Marcellus Shale,,2.72,0.07,0.01,0.03,369,0,1,0.33,3,0.88,0.08,,,,49,2.74,,,,,,,,,,,,,,,,,,,,,,,,NY08,Marcellus Shale,29,3,4,4,42,3,8,7,0,57,2.32,,,,,
,40.65938,-83.96692,,,,,,,Upper Ordovician,,,1.29,0.61,3.73,0.53,440,289,41,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n
,40.71211,-84.13042,,,,,,,Upper Ordovician,,,2.01,1.12,8.5,0.3,440,423,15,,,0.12,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n
,41.940166,-80.551704,,,,,,,Middle Devonian,Marcellus Shale,,7.89,2.98,28.03,0.35,440,358,4,80,38,0.1,10.87,,,,38,0.37,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Middle Devonian,Marcellus Shale,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Middle Devonian,Marcellus Shale,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Middle Devonian,Marcellus Shale,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Middle Devonian,Marcellus Shale,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Middle Devonian,Marcellus Shale,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,6.63,2.96,28.76,0.29,442,434,4,99,45,0.09,9.59,,,,29,0.38,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.940166,-80.551704,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
